Employee_ID,Name,Department,City,Salary,Experience_Years,Email,Phone
1001, sandesh patil ,Data Analyst, Bangalore ,30000.0,1.0, TEST@MAIL.COM ,9876543210
1002,pooja patil, DATA ANALYST ,BELGAUM,,2.0,user@example.com,9876543210
1003,Rahul  Sharma ,Business Analyst,belgaum,,5.0,user@example.com,
1004, Akshay Kumar,Data Analyst,PUNE,30000.0,4.0, TEST@MAIL.COM , 9123456780 
1005, Akshay Kumar,Data Analyst,BELGAUM,40000.0,4.0,employee@company.com,9876543210
1006, Akshay Kumar,data analyst,PUNE,35000.0,4.0, TEST@MAIL.COM ,
1007,SANJAY PATIL, DATA ANALYST , Bangalore ,25000.0,5.0, TEST@MAIL.COM ,
1008, Akshay Kumar, DATA ANALYST ,belgaum,35000.0,4.0,user@example.com, 9123456780 
1009,Rahul  Sharma ,Business Analyst,mumbai,,,employee@company.com,9876543210
1010, Akshay Kumar,Data Analyst, hyderabad ,,1.0,user@example.com, 9123456780 
1011,pooja patil, DATA ANALYST ,belgaum,,4.0,employee@company.com,
1012,Rahul  Sharma ,data analyst,PUNE,30000.0,,employee@company.com,9876543210
1013, sandesh patil ,Data Analyst, hyderabad ,30000.0,5.0,user@example.com, 9123456780 
1014,pooja patil,data analyst,mumbai,25000.0,2.0,employee@company.com,9876543210
1015,SANJAY PATIL, DATA ANALYST , Bangalore ,35000.0,1.0,employee@company.com,
1016,Rahul  Sharma ,Business Analyst,mumbai,,2.0,user@example.com, 9123456780 
1017,SANJAY PATIL, DATA ANALYST ,BELGAUM,,5.0, TEST@MAIL.COM ,
1018, sandesh patil ,data analyst,mumbai,40000.0,5.0,employee@company.com, 9123456780 
1019, sandesh patil ,Business Analyst,belgaum,40000.0,5.0,user@example.com, 9123456780 
1020, Akshay Kumar,Data Analyst,mumbai,25000.0,2.0,user@example.com,
1021,SANJAY PATIL, DATA ANALYST ,mumbai,,, TEST@MAIL.COM , 9123456780 
1022,Rahul  Sharma ,Data Analyst,belgaum,40000.0,5.0, TEST@MAIL.COM ,
1023,pooja patil,data analyst,mumbai,,1.0,user@example.com,
1024,pooja patil,Business Analyst,mumbai,25000.0,3.0,employee@company.com,
1025,SANJAY PATIL, DATA ANALYST , hyderabad ,30000.0,5.0, TEST@MAIL.COM ,
1026,Rahul  Sharma , DATA ANALYST , hyderabad ,30000.0,2.0,employee@company.com,9876543210
1027,Rahul  Sharma , DATA ANALYST ,PUNE,30000.0,4.0, TEST@MAIL.COM ,9876543210
1028, Akshay Kumar, DATA ANALYST ,mumbai,,5.0, TEST@MAIL.COM , 9123456780 
1029,SANJAY PATIL,Business Analyst,mumbai,35000.0,5.0,user@example.com,
1030,SANJAY PATIL, DATA ANALYST ,BELGAUM,30000.0,2.0,employee@company.com,9876543210
1031, sandesh patil ,Data Analyst,mumbai,25000.0,4.0,user@example.com,9876543210
1032, Akshay Kumar,data analyst,mumbai,35000.0,5.0,user@example.com,9876543210
1033, Akshay Kumar, DATA ANALYST ,PUNE,40000.0,,employee@company.com, 9123456780 
1034, sandesh patil , DATA ANALYST , Bangalore ,40000.0,,employee@company.com,9876543210
1035, Akshay Kumar,Business Analyst,BELGAUM,35000.0,5.0,employee@company.com,9876543210
1036, sandesh patil ,Business Analyst,PUNE,40000.0,2.0, TEST@MAIL.COM , 9123456780 
1037, Akshay Kumar,Data Analyst,PUNE,40000.0,5.0,employee@company.com,9876543210
1038, Akshay Kumar,data analyst,belgaum,40000.0,3.0, TEST@MAIL.COM , 9123456780 
1039,Rahul  Sharma ,Business Analyst, hyderabad ,30000.0,2.0,user@example.com, 9123456780 
1040, Akshay Kumar, DATA ANALYST , Bangalore ,30000.0,2.0, TEST@MAIL.COM , 9123456780 
1041, sandesh patil ,Data Analyst,belgaum,35000.0,, TEST@MAIL.COM ,
1042,Rahul  Sharma ,Business Analyst, Bangalore ,35000.0,5.0,user@example.com,9876543210
1043,SANJAY PATIL,data analyst, hyderabad ,40000.0,1.0,employee@company.com,9876543210
1044,SANJAY PATIL,data analyst, hyderabad ,40000.0,1.0, TEST@MAIL.COM ,9876543210
1045,pooja patil,data analyst,mumbai,30000.0,1.0, TEST@MAIL.COM ,9876543210
1046, sandesh patil ,data analyst,mumbai,35000.0,3.0,user@example.com,9876543210
1047, Akshay Kumar, DATA ANALYST , hyderabad ,35000.0,1.0,user@example.com,9876543210
1048,SANJAY PATIL,data analyst,PUNE,35000.0,2.0,user@example.com, 9123456780 
1049,SANJAY PATIL,Data Analyst, Bangalore ,25000.0,3.0, TEST@MAIL.COM ,
1050,Rahul  Sharma ,Data Analyst,PUNE,35000.0,1.0,employee@company.com, 9123456780 
