Customer_ID,Customer_Name,City,Email,Phone,Purchase_Amount,Customer_Segment,Join_Date
10000,Akshay Kumar,mumbai,user@gmail.com,,2500,retial,15/01/2024
10001,Akshay Kumar,mumbai,user@gmail.com,98765-43210,1000,Retail,2024-01-15
10002,rahul sharma,Pune,user@gmail.com,9123456780,five thousand,SMB,
10003,rahul sharma,Belgaum, test@mail.com ,9876543210,2500,corporate,Jan 15 2024
10004,Rahul  Sharma, MUMBAI ,USER@GMAIL.COM,,1000,Retail,
10005,Rahul Sharma,Bangalore, test@mail.com ,,1000,corporate,2024-01-15
10006,Pooja Patil,mumbai, test@mail.com ,,5000 ,retial,2024-01-15
10007,Rahul Sharma,Pune, test@mail.com ,9876543210,2500,Retail,
10008,Rahul  Sharma,Belgaum, test@mail.com ,9123456780,5000,Corporate,15/01/2024
10009,Akshay Kumar,pune,user@gmail.com,9123456780,5000 ,retial,15/01/2024
10010,Pooja Patil,Bengaluru, test@mail.com ,9123456780,five thousand,Corporate,2024-01-15
10011,rahul sharma,Mumbai, test@mail.com ,98765-43210,5000,Retail,15/01/2024
10012,pooja patil,Bangalore,USER@GMAIL.COM,98765-43210,,corporate,15/01/2024
10013,Rahul  Sharma, MUMBAI ,USER@GMAIL.COM,,five thousand,SMB,
10014,pooja patil,Bengaluru, test@mail.com ,9123456780,2500,SMB,
10015,Rahul Sharma,Mumbai,user@gmail.com,9123456780,five thousand,retial,
10016,pooja patil,mumbai,,98765-43210,5000 ,corporate,Jan 15 2024
10017,pooja patil,Mumbai,user@gmail.com,,five thousand,Corporate,2024-01-15
10018,Rahul  Sharma,Bengaluru,USER@GMAIL.COM,98765-43210,1000,Corporate,15/01/2024
10019,pooja patil,mumbai, test@mail.com ,9123456780,2500,Corporate,15/01/2024
10020,pooja patil,belgaum,user@gmail.com,,,Retail,2024-01-15
10021,Rahul  Sharma,pune,USER@GMAIL.COM,9876543210,2500,SMB,2024-01-15
10022,Rahul Sharma,Belgaum,user@gmail.com,9123456780,2500,corporate,15/01/2024
10023,Rahul  Sharma,belgaum,,9123456780,5000 ,retial,Jan 15 2024
10024,Pooja Patil,Bangalore,,98765-43210,1000,retial,15/01/2024
10025,Rahul Sharma,Bangalore,user@gmail.com,9123456780,5000 ,retial,2024-01-15
10026,Rahul Sharma,Mumbai,USER@GMAIL.COM,9876543210,1000,Corporate,2024-01-15
10027,pooja patil,Pune, test@mail.com ,98765-43210,2500,SMB,15/01/2024
10028,Akshay Kumar,Belgaum,USER@GMAIL.COM,98765-43210,,retial,2024-01-15
10029,Rahul Sharma,Bengaluru, test@mail.com ,98765-43210,,corporate,2024-01-15
10030,Akshay Kumar,mumbai,user@gmail.com,98765-43210,five thousand,Corporate,2024-01-15
10031,rahul sharma,Pune,USER@GMAIL.COM,98765-43210,2500,corporate,15/01/2024
10032,Rahul  Sharma,Belgaum,USER@GMAIL.COM,9876543210,,SMB,2024-01-15
10033,Rahul Sharma,belgaum,user@gmail.com,9876543210,2500,retial,
10034,Pooja Patil,Belgaum,USER@GMAIL.COM,98765-43210,1000,retial,
10035,Rahul Sharma,Bengaluru, test@mail.com ,98765-43210,5000,corporate,
10036,rahul sharma,Pune, test@mail.com ,9123456780,1000,SMB,2024-01-15
10037,Akshay Kumar,Bangalore,user@gmail.com,9876543210,5000 ,corporate,15/01/2024
10038,Rahul Sharma,belgaum,user@gmail.com,9123456780,1000,SMB,2024-01-15
10039,Akshay Kumar,Pune,,9876543210,5000 ,retial,2024-01-15
10040,pooja patil,mumbai,,,5000,retial,Jan 15 2024
10041,rahul sharma,pune,,9123456780,five thousand,Corporate,
10042,Rahul  Sharma,mumbai,user@gmail.com,98765-43210,5000 ,SMB,2024-01-15
10043,Rahul Sharma,belgaum,USER@GMAIL.COM,,2500,Corporate,2024-01-15
10044,rahul sharma,Bangalore, test@mail.com ,9123456780,,SMB,Jan 15 2024
10045,pooja patil,belgaum,user@gmail.com,,five thousand,Retail,15/01/2024
10046,Rahul  Sharma,mumbai,user@gmail.com,9123456780,5000,Corporate,15/01/2024
10047,Akshay Kumar,Bangalore,USER@GMAIL.COM,,5000 ,corporate,Jan 15 2024
10048,Rahul Sharma,mumbai,,,1000,Retail,Jan 15 2024
10049,rahul sharma,pune,USER@GMAIL.COM,98765-43210,5000 ,corporate,2024-01-15
10050,Rahul Sharma,mumbai,USER@GMAIL.COM,9876543210,5000,SMB,15/01/2024
10051,Pooja Patil, MUMBAI ,user@gmail.com,,5000,Retail,Jan 15 2024
10052,rahul sharma,Pune,user@gmail.com,,5000 ,corporate,15/01/2024
10053,rahul sharma, MUMBAI ,USER@GMAIL.COM,98765-43210,1000,retial,Jan 15 2024
10054,Pooja Patil,Pune, test@mail.com ,9123456780,five thousand,Retail,
10055,Rahul Sharma,Belgaum,USER@GMAIL.COM,9123456780,,Corporate,Jan 15 2024
10056,rahul sharma,Pune,user@gmail.com,9123456780,,Corporate,Jan 15 2024
10057,Rahul Sharma,pune, test@mail.com ,98765-43210,five thousand,SMB,Jan 15 2024
10058,Rahul Sharma,mumbai, test@mail.com ,9123456780,5000 ,Corporate,2024-01-15
10059,Rahul Sharma,Bengaluru, test@mail.com ,,,SMB,2024-01-15
10060,Pooja Patil,Pune, test@mail.com ,9876543210,five thousand,corporate,2024-01-15
10061,pooja patil,belgaum,USER@GMAIL.COM,,,Retail,Jan 15 2024
10062,pooja patil,Bangalore,user@gmail.com,,5000 ,Corporate,
10063,Rahul  Sharma,Bengaluru, test@mail.com ,9123456780,2500,corporate,
10064,Akshay Kumar, MUMBAI , test@mail.com ,98765-43210,5000 ,Retail,Jan 15 2024
10065,Rahul  Sharma,Pune,,,,corporate,
10066,Akshay Kumar,Pune,,9123456780,five thousand,Retail,Jan 15 2024
10067,pooja patil,Bangalore,user@gmail.com,9123456780,five thousand,Corporate,15/01/2024
10068,rahul sharma, MUMBAI ,user@gmail.com,9876543210,2500,corporate,2024-01-15
10069,Pooja Patil,Bengaluru,USER@GMAIL.COM,98765-43210,,corporate,15/01/2024
10070,rahul sharma,Mumbai,user@gmail.com,98765-43210,2500,retial,
