Guest_ID,Guest_Name,Hotel_Name,City,Room_Type,Nights_Stayed,Room_Rate,Food_Bill,Rating,Booking_Source,CheckIn_Date,Total_Bill
1001,Rohan Singh,Royal Inn,Delhi,Suite,2,4580,6033.0,3.4,MakeMyTrip,2025-09-14,15193.0
1002,Anjali Gupta,City Palace,Bangalore,Standard,2,10146,869.0,4.3,Booking.com,2025-06-05,21161.0
1003,Karan Kulkarni,Comfort Hub,Hyderabad,Executive,4,10243,5526.0,4.4,Booking.com,2025-04-23,46498.0
1004,Priya Rao,City Palace,Mumbai,Suite,7,11553,7741.0,3.5,Agoda,2025-11-14,88612.0
1005,Rohan Rao,Elite Suites,Chennai,Standard,5,11386,5165.0,2.5,Goibibo,2025-02-16,62095.0
1006,Anjali Gupta,Comfort Hub,Bangalore,Executive,6,6019,4694.0,4.0,Walk-in,2025-08-26,40808.0
1007,Pooja Verma,Comfort Hub,Mumbai,Standard,4,5138,5730.0,2.7,Agoda,2025-11-30,26282.0
1008,Anjali Rao,City Palace,Delhi,Executive,1,11840,806.0,2.8,MakeMyTrip,2025-04-16,12646.0
1009,Neha Gupta,Elite Suites,Mumbai,Suite,7,2671,1934.0,4.1,Goibibo,2025-07-06,20631.0
1010,Sneha Verma,Ocean View,Bangalore,Deluxe,6,2777,5172.0,3.3,Goibibo,2025-06-08,21834.0
1011,Neha Sharma,Royal Inn,Delhi,Deluxe,4,6927,7127.0,3.4,Booking.com,2025-07-17,34835.0
1012,Karan Patil,City Palace,Mumbai,Standard,7,5022,703.0,3.7,,2025-06-26,35857.0
1013,Priya Joshi,Comfort Hub,Delhi,Suite,5,3860,2523.0,4.9,Goibibo,2025-09-18,21823.0
1014,Vikas Patil,Royal Inn,Bangalore,Deluxe,3,5139,2639.0,4.9,MakeMyTrip,2025-10-14,18056.0
1015,Priya Verma,Royal Inn,Bangalore,Executive,3,3074,6159.0,3.5,Agoda,2025-10-20,15381.0
1016,Amit Singh,Royal Inn,Delhi,Deluxe,1,11908,7527.0,3.2,Goibibo,2025-12-01,19435.0
1017,Rohan Singh,Ocean View,Pune,Standard,3,11475,4582.0,3.3,Booking.com,2025-05-23,39007.0
1018,Vikas Rao,Grand Stay,Hyderabad,Standard,4,8763,3909.0,3.2,Agoda,2025-11-04,38961.0
1019,Karan Rao,City Palace,Mumbai,Suite,1,3986,4801.0,3.8,Booking.com,2025-07-16,8787.0
1020,Rohan Gupta,Grand Stay,Mumbai,Standard,6,11193,5621.0,4.0,Goibibo,2025-08-13,72779.0
1021,Vikas Kulkarni,Grand Stay,Pune,Deluxe,5,8327,1164.0,3.7,Agoda,2025-02-12,42799.0
1022,Sneha Singh,Grand Stay,Pune,Deluxe,1,3046,619.0,3.5,Goibibo,2025-05-31,3665.0
1023,Vikas Singh,Royal Inn,Pune,Deluxe,6,4176,7982.0,3.0,MakeMyTrip,2025-10-23,33038.0
1024,Sneha Sharma,Elite Suites,Chennai,Deluxe,1,4338,3066.0,3.7,Agoda,2025-03-04,7404.0
1025,Vikas Sharma,Royal Inn,Chennai,Suite,2,2500,4872.0,3.4,Booking.com,2025-05-10,9872.0
1026,Karan Sharma,Royal Inn,Delhi,Executive,2,4233,446.0,3.9,MakeMyTrip,2025-09-12,8912.0
1027,Pooja Singh,Comfort Hub,Chennai,Executive,1,6608,2337.0,4.2,Walk-in,2025-12-09,8945.0
1028,Rohan Singh,Comfort Hub,Bangalore,Suite,7,9234,208.0,,Booking.com,2025-08-02,64846.0
1029,Anjali Kulkarni,Grand Stay,Delhi,Standard,3,9972,5594.0,3.7,Goibibo,2025-03-14,35510.0
1030,Amit Joshi,Royal Inn,Mumbai,Executive,2,8610,2460.0,3.9,Booking.com,2025-04-14,19680.0
1031,Rahul Singh,Grand Stay,Hyderabad,Standard,7,2600,6820.0,3.2,Walk-in,2025-06-07,25020.0
1032,Sneha Verma,Comfort Hub,Bangalore,Executive,7,6284,5546.0,2.6,Booking.com,2025-09-29,49534.0
1033,Pooja Sharma,Elite Suites,Mumbai,Standard,5,11180,5973.0,4.1,MakeMyTrip,2025-11-11,61873.0
1034,Neha Joshi,City Palace,Mumbai,Suite,6,6483,3442.0,3.1,Booking.com,2025-08-26,42340.0
1035,Priya Singh,Grand Stay,Delhi,Deluxe,4,7901,7999.0,4.2,Agoda,2025-10-30,39603.0
1036,Neha Gupta,Elite Suites,Pune,Standard,2,8129,2711.0,4.4,Walk-in,2025-06-07,18969.0
1037,Sneha Sharma,City Palace,Pune,Deluxe,1,3754,2337.0,4.8,Booking.com,2025-04-19,6091.0
1038,Sneha Sharma,Ocean View,Bangalore,Standard,3,4464,7599.0,4.9,Walk-in,2025-01-09,20991.0
1039,Pooja Joshi,Grand Stay,Pune,Standard,4,6482,1291.0,2.5,MakeMyTrip,2025-11-17,27219.0
1040,Anjali Joshi,Grand Stay,Mumbai,Standard,6,11686,2198.0,5.0,Agoda,2025-02-28,72314.0
1041,Rohan Singh,Ocean View,Pune,Standard,7,11044,5838.0,4.2,Goibibo,2025-12-24,83146.0
1042,Vikas Joshi,Ocean View,Chennai,Standard,6,9400,5374.0,4.1,Booking.com,2025-07-11,61774.0
1043,Anjali Gupta,Grand Stay,Pune,Deluxe,2,8806,7520.0,2.5,MakeMyTrip,2025-05-16,25132.0
1044,Sneha Kulkarni,Ocean View,Mumbai,Standard,6,10643,1400.0,4.7,Walk-in,2025-09-08,65258.0
1045,Karan Verma,Royal Inn,Delhi,Deluxe,6,9396,5772.0,2.9,Walk-in,2025-05-26,62148.0
1046,Priya Patil,City Palace,Bangalore,Suite,3,9338,4950.0,4.6,MakeMyTrip,2025-12-13,32964.0
1047,Vikas Gupta,City Palace,Hyderabad,Executive,7,11950,5477.0,2.5,Booking.com,2025-12-18,89127.0
1048,Rahul Patil,City Palace,Pune,Standard,3,7241,2655.0,4.1,Goibibo,2025-02-27,24378.0
1049,Rohan Patil,Royal Inn,Mumbai,Executive,3,9394,4012.0,3.6,Booking.com,2025-06-26,32194.0
1050,Anjali Patil,Ocean View,Hyderabad,Deluxe,1,8437,6513.0,3.0,Agoda,2025-10-15,14950.0
1051,Anjali Verma,Elite Suites,Hyderabad,Suite,6,6695,7394.0,2.8,Booking.com,2025-09-02,47564.0
1052,Amit Patil,Ocean View,Chennai,Suite,6,4588,704.0,3.6,Agoda,2025-02-17,28232.0
1053,Anjali Rao,Grand Stay,Hyderabad,Suite,6,3782,7470.0,2.8,Walk-in,2025-10-28,30162.0
1054,Amit Patil,Comfort Hub,Delhi,Executive,5,7947,825.0,3.7,Agoda,2025-12-22,40560.0
1055,Karan Sharma,City Palace,Mumbai,Deluxe,3,8594,1004.0,4.1,Goibibo,2025-04-10,26786.0
1056,Rohan Sharma,Ocean View,Mumbai,Standard,4,5520,,4.6,MakeMyTrip,2025-08-01,25540.0
1057,Vikas Singh,Elite Suites,Pune,Standard,2,11971,376.0,4.2,Agoda,2025-10-29,24318.0
1058,Rohan Patil,Grand Stay,Pune,Deluxe,7,5218,972.0,2.7,Booking.com,2025-06-14,37498.0
1059,Anjali Singh,Royal Inn,Pune,Executive,4,5757,4213.0,3.3,Agoda,2025-05-06,27241.0
